grid_cell,sentiment_mean,sentiment_count,sentiment_std
32.3000_-86.2350,0.033720930232558136,129,0.06286232187588926
32.3000_-86.2400,0.05437499999999999,80,0.07256326353734288
32.3000_-86.2450,0.03479381443298969,194,0.06347623081625879
32.3000_-86.2500,0.05701357466063348,221,0.07297661391519449
32.3000_-86.2550,0.12,5,0.0670820393249937
32.3000_-86.2600,0.0698019801980198,202,0.07500554139422234
32.3000_-86.2650,0.0410828025477707,157,0.0671066852284613
32.3000_-86.2700,0.08039999999999999,125,0.07748464988461864
32.3000_-86.2750,0.06346153846153846,104,0.07734388260393277
32.3000_-86.3100,0.0,4,0.0
32.3000_-86.3400,0.07125,200,0.07804738607001396
32.3000_-86.3450,0.06832740213523131,281,0.07590204869726037
32.3000_-86.3500,0.060431654676258995,139,0.07601363820801514
32.3000_-86.3750,0.0,2,0.0
32.3000_-86.3950,0.0,1,0.0
32.3000_-86.4450,0.0,1,0.0
32.3050_-86.1150,0.075,4,0.08660254037844387
32.3050_-86.1400,0.049999999999999996,3,0.08660254037844387
32.3050_-86.1450,0.02195121951219512,41,0.05367585640654101
32.3050_-86.1500,0.016666666666666666,9,0.05
32.3050_-86.1600,0.01,15,0.03872983346207417
32.3050_-86.1700,0.0,1,0.0
32.3050_-86.1900,0.09999999999999999,3,0.08660254037844387
32.3050_-86.1950,0.049999999999999996,9,0.075
32.3050_-86.2000,0.053684210526315786,95,0.07863263130206899
32.3050_-86.2100,0.0,5,0.0
32.3050_-86.2150,0.056249999999999994,8,0.07763237542601485
32.3050_-86.2200,0.07241379310344828,29,0.07628214415734116
32.3050_-86.2250,0.06153846153846154,195,0.07704391777202256
32.3050_-86.2300,0.07689075630252101,119,0.07529318850907986
32.3050_-86.2350,0.08639999999999999,125,0.07442684219224725
32.3050_-86.2400,0.08478260869565217,46,0.07518094115561123
32.3050_-86.2450,0.057692307692307696,26,0.07442084075352506
32.3050_-86.2500,0.042993630573248405,157,0.06804471538998218
32.3050_-86.2550,0.0624,125,0.07896916507256528
32.3050_-86.2600,0.05436241610738255,298,0.07222600283174936
32.3050_-86.2650,0.06333333333333334,180,0.07429369470302104
32.3050_-86.2700,0.05192307692307692,26,0.07277467860563759
32.3050_-86.2750,0.075,2,0.10606601717798213
32.3050_-86.2850,0.0,2,0.0
32.3050_-86.3050,0.029508196721311473,61,0.06012282510295616
32.3050_-86.3350,0.07578947368421052,95,0.07539370349250518
32.3050_-86.3400,0.06376021798365122,367,0.07589197994990893
32.3050_-86.3450,0.07231270358306188,307,0.07507421122484581
32.3050_-86.3500,0.07025316455696203,79,0.07532791023498536
32.3050_-86.3650,0.0,3,0.0
32.3050_-86.3750,0.15,1,0.0
32.3050_-86.3800,0.0375,4,0.07500000000000001
32.3050_-86.3900,0.0,5,0.0
32.3050_-86.3950,0.08571428571428572,28,0.08591246929842246
32.3050_-86.4050,0.0,4,0.0
32.3050_-86.4100,0.15,1,0.0
32.3050_-86.4150,0.0,3,0.0
32.3100_-86.0950,0.0,1,0.0
32.3100_-86.1150,0.01875,8,0.053033008588991064
32.3100_-86.1300,0.0,157,0.0
32.3100_-86.1350,0.075,8,0.08017837257372731
32.3100_-86.1400,0.024999999999999998,48,0.0564932682866032
32.3100_-86.1450,0.02142857142857143,28,0.05345224838248489
32.3100_-86.1800,0.0,5,0.0
32.3100_-86.1850,0.012,25,0.04153311931459037
32.3100_-86.1900,0.04285714285714286,7,0.07319250547113998
32.3100_-86.1950,0.06705882352941177,85,0.0785102894289563
32.3100_-86.2000,0.01,15,0.03872983346207417
32.3100_-86.2050,0.0,3,0.0
32.3100_-86.2100,0.05094339622641509,53,0.07171696910407327
32.3100_-86.2150,0.1,30,0.07191949522280763
32.3100_-86.2200,0.12,65,0.06046693311223913
32.3100_-86.2250,0.10702479338842975,726,0.06922400972474105
32.3100_-86.2300,0.049999999999999996,3,0.08660254037844387
32.3100_-86.2350,0.09,25,0.075
32.3100_-86.2400,0.055778894472361805,199,0.07422509688004757
32.3100_-86.2450,0.056249999999999994,152,0.07285849934738102
32.3100_-86.2500,0.0627906976744186,129,0.076617727470806
32.3100_-86.2550,0.027919708029197077,274,0.05848872761928149
32.3100_-86.2600,0.06581632653061224,196,0.07462622718159813
32.3100_-86.2650,0.061445783132530116,83,0.07421347800343972
32.3100_-86.2800,0.0375,36,0.07500000000000001
32.3100_-86.2850,0.07434782608695652,115,0.07790153968686064
32.3100_-86.2900,0.04846153846153846,65,0.07069367831600046
32.3100_-86.2950,0.0,2,0.0
32.3100_-86.3000,0.075,4,0.08660254037844387
32.3100_-86.3400,0.0798076923076923,156,0.07508679840881059
32.3100_-86.3450,0.05459558823529412,272,0.07230408099178073
32.3100_-86.3500,0.06206896551724137,87,0.08104173388022219
32.3100_-86.3550,0.12,10,0.06324555320336758
32.3100_-86.3600,0.0,146,0.0
32.3100_-86.3650,0.0,5,0.0
32.3100_-86.3700,0.0069767441860465115,43,0.0457495710997814
32.3100_-86.3750,0.016666666666666666,9,0.05
32.3100_-86.3800,0.0410958904109589,146,0.06712955346575786
32.3100_-86.3850,0.05075757575757575,198,0.07274133170526681
32.3100_-86.3900,0.048,25,0.07141428428542851
32.3100_-86.3950,0.01875,16,0.051234753829797995
32.3100_-86.4000,0.05,57,0.07133922984085063
32.3100_-86.4050,0.01824324324324324,74,0.04936190389825508
32.3100_-86.4100,0.06,5,0.08215838362577492
32.3150_-86.1300,0.03387096774193549,31,0.0637535577754862
32.3150_-86.1350,0.00967741935483871,31,0.037459655717206115
32.3150_-86.1400,0.06702127659574468,47,0.07538062528196547
32.3150_-86.1450,0.0,7,0.0
32.3150_-86.1750,0.024999999999999998,6,0.06123724356957946
32.3150_-86.1800,0.0,10,0.0
32.3150_-86.1850,0.0,1,0.0
32.3150_-86.1900,0.03,10,0.09486832980505139
32.3150_-86.1950,0.031578947368421054,19,0.06282808624375433
32.3150_-86.2000,0.0375,4,0.075
32.3150_-86.2050,0.05526315789473685,19,0.0743391941675028
32.3150_-86.2100,0.034931506849315064,146,0.06361789571845945
32.3150_-86.2150,0.0648,125,0.08376811311109704
